"ID";"lvl";"xmm";"ymm";"zmm";
1;2;0;-7800;3830;
2;2;3710;-18160;2580;
3;2;-4430;-20510;4090;
4;2;-4300;-13770;3090;
5;2;-7800;0;2260;
6;2;-14520;-4210;3820;
7;2;-18000;-3410;2550;
8;2;-18500;4440;730;
9;2;0;7800;3430;
10;2;-3640;19000;1780;
11;2;-250;24380;800;
12;2;4440;16100;2590;
13;2;7800;0;1510;
14;2;17830;3970;2150;
15;2;19040;-4450;960;
16;2;13110;-4100;3110;
17;2;8410;-12050;2140;
18;2;17280;-7650;2000;
19;2;17330;-16700;1900;
20;2;20440;-21880;2030;
21;2;-6700;-11620;2800;
22;2;-8990;-16920;1670;
23;2;-15660;-16920;2260;
24;2;-16460;-9230;2720;
